"report_date,""location"",""location_type"",""data_field"",""data_field_code"",""time_period"",""time_period_type"",""value"",""unit"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,167,""cases"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed_pregnant_cumulative"",""NI0004"",NA,NA,29,""cases"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed"",""NI0001"",NA,NA,12,""cases"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed_pregnant"",""NI0002"",NA,NA,3,""cases"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,179,""cases"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed_pregnant_cumulative"",""NI0004"",NA,NA,32,""cases"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed"",""NI0001"",NA,NA,3,""cases"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed_pregnant"",""NI0002"",NA,NA,0,""cases"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,182,""cases"""
"2016-05-14,""Nicaragua"",""country"",""total_zika_confirmed_pregnant_cumulative"",""NI0004"",NA,NA,32,""cases"""
"2016-05-14,""Nicaragua-Managua"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,100,""cases"""
"2016-05-14,""Nicaragua-Nueva_Segovia"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,30,""cases"""
"2016-05-14,""Nicaragua-Masaya"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,19,""cases"""
"2016-05-14,""Nicaragua-Leon"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,13,""cases"""
"2016-05-14,""Nicaragua-Chinandega"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,6,""cases"""
"2016-05-14,""Nicaragua-Rivas"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,5,""cases"""
"2016-05-14,""Nicaragua-Carazo"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,3,""cases"""
"2016-05-14,""Nicaragua-Granada"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,3,""cases"""
"2016-05-14,""Nicaragua-Matagalpa"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,2,""cases"""
"2016-05-14,""Nicaragua-Jinotega"",""city"",""total_zika_confirmed_cumulative"",""NI0003"",NA,NA,1,""cases"""
